,qid,docno,label
0,23849,1020327,2
1,23849,1034183,3
2,23849,1120730,0
3,23849,1139571,1
4,23849,1143724,0
5,23849,1147202,0
6,23849,1150311,0
7,23849,1158886,2
8,23849,1175024,1
9,23849,1201385,0
10,23849,1215556,0
11,23849,1220759,0
12,23849,1221770,0
13,23849,1333480,1
14,23849,1381453,2
15,23849,1414114,2
16,23849,1414115,0
17,23849,1414120,2
18,23849,1449780,0
19,23849,146754,0
20,23849,1493231,0
21,23849,1532701,0
22,23849,1535484,0
23,23849,1605854,1
24,23849,1605857,1
25,23849,1622747,1
26,23849,17118,0
27,23849,17122,0
28,23849,1714915,0
29,23849,1714917,1
30,23849,1724687,0
31,23849,172488,0
32,23849,178252,0
33,23849,182049,0
34,23849,1827512,1
35,23849,1844627,0
36,23849,188190,0
37,23849,188246,1
38,23849,1944730,0
39,23849,2003292,0
40,23849,2017213,0
41,23849,2203364,0
42,23849,2209883,0
43,23849,2318793,0
44,23849,2339898,1
45,23849,2373852,0
46,23849,2397072,0
47,23849,2423771,0
48,23849,2516458,0
49,23849,2585563,0
50,23849,2593928,0
51,23849,2607127,3
52,23849,2607128,1
53,23849,2607129,2
54,23849,2607130,2
55,23849,2607131,2
56,23849,2607132,3
57,23849,2607134,0
58,23849,2647769,3
59,23849,2674124,0
60,23849,2766280,0
61,23849,282421,0
62,23849,2838462,3
63,23849,2880479,0
64,23849,2934343,0
65,23849,293608,0
66,23849,293753,0
67,23849,3008750,1
68,23849,310272,0
69,23849,3104533,0
70,23849,3113002,0
71,23849,314300,0
72,23849,3185119,1
73,23849,3341056,0
74,23849,3342089,0
75,23849,3374884,0
76,23849,3376500,0
77,23849,3678109,0
78,23849,3687776,0
79,23849,3698649,0
80,23849,3799370,0
81,23849,3878669,1
82,23849,3978767,2
83,23849,3978774,1
84,23849,4016311,2
85,23849,4016314,1
86,23849,4016317,3
87,23849,4065323,1
88,23849,4091550,0
89,23849,4091551,0
90,23849,4104777,0
91,23849,4138534,2
92,23849,4188880,1
93,23849,4281690,1
94,23849,4344309,1
95,23849,4348282,0
96,23849,436721,0
97,23849,4387499,0
98,23849,441893,0
99,23849,4482145,0
100,23849,4527137,0
101,23849,4556932,3
102,23849,4556933,3
103,23849,4556936,0
104,23849,4556938,0
105,23849,4556941,0
106,23849,45662,1
107,23849,4576574,0
108,23849,4577479,0
109,23849,4672905,0
110,23849,4804092,0
111,23849,4834498,0
112,23849,4908953,1
113,23849,4908957,1
114,23849,4951252,0
115,23849,5315510,0
116,23849,5340997,1
117,23849,5365059,0
118,23849,5367780,0
119,23849,542113,0
120,23849,5529682,0
121,23849,5597936,1
122,23849,5633221,0
123,23849,5740854,2
124,23849,5740859,1
125,23849,5809666,0
126,23849,5824000,0
127,23849,5835858,0
128,23849,5862666,0
129,23849,587451,3
130,23849,5888570,3
131,23849,590924,0
132,23849,590926,3
133,23849,590927,1
134,23849,590929,2
135,23849,5913890,2
136,23849,5979591,0
137,23849,599695,0
138,23849,6037300,0
139,23849,6180228,2
140,23849,6264715,3
141,23849,6277578,1
142,23849,6338425,0
143,23849,639564,0
144,23849,640767,3
145,23849,640772,3
146,23849,640775,0
147,23849,6493523,0
148,23849,6515917,1
149,23849,653142,0
